Verhardingsobject Guid,Datum,Inspecterende organisatie,Dwarsonvlakheid,Langsonvlakheid,Oneffenheden,Rafeling,Randschade,Scheurvorming,Voegvulling,Voegwijdte,Zetting,Opmerking
{01A66DDB-481E-4669-8667-3C3E80925F00},16-3-2016,,G,,G,L1,G,G,G,G,G,
{01A66DDB-481E-4669-8667-3C3E80925F00},25-5-2018,,G,,G,M1,G,G,,,G,
{01AEFCA1-00C5-4224-AC72-8E7BB9C4443D},17-4-2014,,G,,G,G,G,G,G,G,G,
{01AEFCA1-00C5-4224-AC72-8E7BB9C4443D},27-6-2018,,G,,G,G,G,G,,,G,
{01B3AE71-65F2-4E4D-B20F-42F5732E29F1},1-1-2015,,G,,G,L3,G,G,G,G,G,
{01B3AE71-65F2-4E4D-B20F-42F5732E29F1},7-8-2017,,G,,G,G,G,G,,,G,
{01B3AE71-65F2-4E4D-B20F-42F5732E29F1},14-5-2019,,G,,G,G,G,G,,,G,
{01BE4F21-B216-479C-A6E3-02169566C2AD},3-2-2015,,G,,G,E1,E1,M1,G,G,G,
{01BE4F21-B216-479C-A6E3-02169566C2AD},26-9-2017,,G,,G,M1,E1,M1,G,G,G,
{01BE4F21-B216-479C-A6E3-02169566C2AD},11-1-2019,,G,,G,M1,G,G,,,G,
{01C2A1E6-F6E1-4244-BBB5-B14E92F523DE},20-9-2016,,L3,,G,L2,G,M1,G,G,G,
{01C2A1E6-F6E1-4244-BBB5-B14E92F523DE},18-5-2018,,G,,G,G,G,G,,,G,
{01C2A1E6-F6E1-4244-BBB5-B14E92F523DE},3-5-2019,,G,,G,G,G,G,,,G,
{01C49360-7AA3-44BB-B582-66BF24CA6D15},20-9-2016,,L2,,G,L1,G,G,G,G,G,
{01C49360-7AA3-44BB-B582-66BF24CA6D15},29-5-2018,,G,,G,G,G,G,,,G,
{01C49360-7AA3-44BB-B582-66BF24CA6D15},25-2-2019,,G,,G,G,G,G,,,G,
{01C5AD56-A786-4CA7-AB31-CD2E7ECC0153},1-5-2014,,G,,G,G,G,G,G,G,G,
{01C5AD56-A786-4CA7-AB31-CD2E7ECC0153},28-6-2018,,G,,G,G,G,G,,,G,
{01CE8D23-7B97-4108-A604-C2389A219EB9},16-3-2016,,G,,G,G,G,G,G,G,G,
{01CE8D23-7B97-4108-A604-C2389A219EB9},12-6-2018,,G,,G,G,G,G,,,G,
{01D2E599-F4AF-4288-A28F-90C6BE2CC5B3},1-1-2015,,G,,G,G,G,G,G,G,G,
{01D2E599-F4AF-4288-A28F-90C6BE2CC5B3},27-5-2019,,G,,G,L1,E1,L1,,,G,openstaande dwarslas
{01D637A3-09F7-48F4-8C90-F2501AE97655},12-5-2014,,G,,G,G,G,G,G,G,G,
{01D637A3-09F7-48F4-8C90-F2501AE97655},29-6-2018,,G,,G,G,G,G,,,G,
